,Judul,Lokasi,Kamar,Toilet,Luas,Harga
94,Taman Kopo Katapang,"Jl Terusan Kopo KM 12,8, Soreang, Bandung, Soreang, Bandung, Jawa Barat",2 ,2 ,60 m²,510 jt
95,Rumah Villa di Cluster Cigadung,"Cluster Cigadung, Cigadung, Bandung, Jawa Barat",4 ,5 ,240 m²,"3,5 M"
96,Rumah Baru di Margahayu Raya,"Komplek Margahayu Raya, Buahbatu, Bandung, Jawa Barat",3 ,3 ,110 m²,"1,45 M"
97,Kopo Residence,". Jl. Manglid, Kopo, Bandung, Jawa Barat",2 ,2 ,80 m²,"316,000855 jt"
98,Taman Kopo Indah 1,"Jl Raya Kopo,Mekar Rahayu, Margaasih, Margaasih, Bandung, Jawa Barat",5 ,3 ,84 m²,"600,000999 jt"
99,Buahbatu Regency,"Jl. Terusan Buah Batu, Buah Batu, Bandung, Buahbatu, Bandung, Jawa Barat",5 ,3 ,200 m²,3 M
100,Taman Kopo Katapang,"Jl Terusan Kopo KM 12,8, Soreang, Bandung, Soreang, Bandung, Jawa Barat",2 ,2 ,80 m²,261 jt
101,Komplek Sukamenak Indah,"Jl Sukamenak Indah, Sukamenak, Margahayu, Margahayu, Bandung, Jawa Barat",3 ,2 ,70 m²,383 jt
102,Taman Cibaduyut Indah,"Jl. Raya Cibaduyut, Cibaduyut, Bandung, Bojongloa Kidul, Bandung, Jawa Barat",3 ,1 ,60 m²,"252,000054 jt"
103,Al maas 3 property,"Jln bojong sukamukti, Bandung Selatan, Bandung, Jawa Barat",3 ,1 ,80 m²,326 jt
104,Margahayu Raya,". JL Ciwastra, Margasari, Buah Batu, Ancol, Bandung, Jawa Barat",2 ,1 ,50 m²,"263,000999 jt"
105,Harmoni Sindanglaya,"Jl Arcamanik, Sindanglaya, Arcamanik, Bandung, Jawa Barat",3 ,2 ,60 m²,844 jt
106,Perumahan murah harga terjangkau Bandung,"Jalan Raya Soreang Banjaran Tanjung Sari, Buahbatu, Bandung, Jawa Barat",2 ,1 ,36 m²,125 jt
107,HARGA NEGO RUMAH TERAWAT DI SEKELIMUS BUAH BATU,"Sekelimus, Buahbatu, Bandung, Jawa Barat",3 ,2 ,100 m²,"1,1 M"
